NOME,FILAL,FAIXA IP,PRODUTO,CIRCUITO,ROTEADOR,VELOC
VAZ,14,Ip Connect,BHE6708534,BHE6708536,10M,8
VAZ,14,Vpn Vip,BHE6086366,BHE6086368,6M,8
AUTORAMA,19,Ip Connect,DVL5081340,DVL5081342,10M,11
AUTORAMA,19,Vpn Vip,DVL5081378,DVL5081379,6M,11
BRG EDUARDO,18,Ip Connect,BHE6708537,BHE6708538,10M,9
BRG EDUARDO,18,Vpn Vip,BHE6270571,BHE6270573,6M,9
PEDRO II,21,Ip Connect,BHE6708539,BHE6708541,10M,12
PEDRO II,21,Vpn Vip,BHE6386666,BHE6386667,6M,12
JUIZ DE FORA,11,Ip Connect,JFA5331892,JFA5331893,10M,5
JUIZ DE FORA,1,Vpn Vip,JFA5194411,JFA5194412,6M,5
DULCE SARMENTO,4,Ip Connect,MCL5079868,MCL5079869,10M,1
DULCE SARMENTO,4,Vpn Vip,MCL5048784,MCL5048785,6M,1
JARAGUA,24,Ip Connect,MCL5079871,MCL5079872,10M,15
JARAGUA,24,Vpn Vip,MCL5075417,MCL5075418,6M,15
TITO FULGENCIO,10,Ip Connect,BHE6708528,BHE6708529,30M,4
TITO FULGENCIO,10,Vpn Vip,BHE5890895,BHE5890926,6M,4
CEANORTE,12,Ip Connect,MCL5079873,MCL5079874,10M,6
CEANORTE,12,Vpn Vip,MCL5062874,MCL5062875,6M,6
MN,28,Ip Connect,BHE6708731,BHE6708732,10M,17
MN,28,Vpn Vip,BHE6708774,BHE6708776,6M,17
CEASA,0-2,Ip Connect,BHE6710416,BHE 6710428,30M,20-21
CEASA,0-2,Vpn Vip,BHE6200222,BHE6200223,30M,20-21
CD,,Ip Connect,RNS5033110,RNS5033112,60M,
CD,,Vpn Vip,RNS5020106,RNS5020108,60M,
HM,27,Ip Connect,BHE6708728,BHE6708729,10M,16
HM,27,Vpn Vip,BHE6708767,BHE6708770,6M,16
JUSTINOPOLIS,19,Ip Connect,JUST5053672,JUST5053673,10M,10
JUSTINOPOLIS,19,Vpn Vip,JUST5053704,JUST5053705,6M,10
JOAQUIM JOSE,22,Ip Connect,BHE6708542,BHE670854,10M,13
JOAQUIM JOSE,22,Vpn Vip,BHE6542797,BHE6542801,6M,13
COF,9,Ip Connect,CRF5048987,CRF5049020,10M,7
COF,9,Vpn Vip,CRF5035260,CRF5035261,6M,7
TROPICAL,23,Ip Connect,BHE6708544,BHE6708545,10M,14
TROPICAL,23,Vpn Vip,BHE6542981,BHE6542982,6M,14
CLOVIS SALGADO,26,Ip Connect,BHE 6753678,BHECN6752678,10M,18
CLOVIS SALGADO,26,Vpn Vip,BHE 6744472,BHE6744474,6M,18
SANTA LUZIA,34,Ip Connect,SLU 5051634,,,19
SANTA LUZIA,34,Vpn Vip,SLU 5051644,,6M,19
JATAI-GO,38,Ip Connect,GNA 0759894,,,22
JATAI-GO,38,Vpn Vip,GNA 0759952,,6M,22
MOC  CULA MANG,35,Ip Connect,MCL 5085489,,10M,24
MOC  CULA MANG,35,Vpn Vip,MCL 5085486,,60M,24
ITABIRA,36,Ip Connect,IBA 5049536,,10M,23
ITABIRA,36,Vpn Vip,IBA 5049538,,6M,23
